sample,prediction,p_left_raw,p_right_raw,name,score_total,mean_score,n_preds
8831,left_hand,0.6795163154602051,0.3204836845397949,ScorePonderado,-1.7381469905376434,0.3476293981075287,5
8895,left_hand,0.7318650484085083,0.2681349217891693,ScorePonderado,-1.6811304986476898,0.336226099729538,5
8959,left_hand,0.7739040851593018,0.22609592974185944,ScorePonderado,-1.772910162806511,0.35458203256130216,5
9023,left_hand,0.8617748618125916,0.13822507858276367,ScorePonderado,-2.23249252140522,0.446498504281044,5
9087,left_hand,0.9465043544769287,0.053495630621910095,ScorePonderado,-2.987129420042038,0.5974258840084076,5
9151,left_hand,0.9596371650695801,0.04036279767751694,ScorePonderado,-3.547371156513691,0.7094742313027382,5
9215,left_hand,0.9551572203636169,0.04484284296631813,ScorePonderado,-3.9939554072916508,0.7987910814583301,5
9279,left_hand,0.8877755403518677,0.11222448199987411,ScorePonderado,-4.221698310226202,0.8443396620452404,5
9343,left_hand,0.34380242228507996,0.6561975479125977,ScorePonderado,-3.1857534013688564,0.7621087305247783,5
9407,left_hand,0.46509790420532227,0.534902036190033,ScorePonderado,-2.222940545529127,0.5974678121507168,5
9471,left_hand,0.7476533651351929,0.25234663486480713,ScorePonderado,-1.7989729084074497,0.5126742847263813,5
9535,left_hand,0.8763797283172607,0.12362022697925568,ScorePonderado,-1.641418032348156,0.4811633095145226,5
9599,left_hand,0.9022589325904846,0.09774109721183777,ScorePonderado,-1.6703848093748093,0.48695666491985323,5
9663,left_hand,0.8994724750518799,0.10052750259637833,ScorePonderado,-2.7817249074578285,0.58426663428545,5
9727,left_hand,0.8723180294036865,0.12768195569515228,ScorePonderado,-3.5961651131510735,0.7192330226302147,5
9791,left_hand,0.8695306181907654,0.130469411611557,ScorePonderado,-3.839919589459896,0.7679839178919792,5
9855,left_hand,0.8803253769874573,0.11967463046312332,ScorePonderado,-3.847810834646225,0.769562166929245,5
9919,left_hand,0.8685855269432068,0.1314144879579544,ScorePonderado,-3.7804640382528305,0.7560928076505661,5
9983,left_hand,0.8682987093925476,0.1317013055086136,ScorePonderado,-3.718116469681263,0.7436232939362526,5
10047,left_hand,0.7820152044296265,0.21798478066921234,ScorePonderado,-3.537510819733143,0.7075021639466286,5
10111,left_hand,0.7072250843048096,0.2927749454975128,ScorePonderado,-3.2128997519612312,0.6425799503922462,5
10175,left_hand,0.7977393865585327,0.20226064324378967,ScorePonderado,-3.0477277487516403,0.609545549750328,5
10239,left_hand,0.8491114377975464,0.15088851749897003,ScorePonderado,-3.0087796300649643,0.6017559260129929,5
10303,left_hand,0.9183651208877563,0.08163490891456604,ScorePonderado,-3.1089124381542206,0.6217824876308441,5
10367,left_hand,0.9099265336990356,0.09007348865270615,ScorePonderado,-3.364735059440136,0.6729470118880272,5
10431,left_hand,0.9325506091117859,0.06744943559169769,ScorePonderado,-3.8153860941529274,0.7630772188305854,5
10495,left_hand,0.962181806564331,0.03781820461153984,ScorePonderado,-4.144270952790976,0.8288541905581951,5
10559,left_hand,0.9427321553230286,0.057267867028713226,ScorePonderado,-4.3315123207867146,0.8663024641573429,5
10623,left_hand,0.9816411137580872,0.018358884379267693,ScorePonderado,-4.458064338192344,0.8916128676384687,5
10687,left_hand,0.9872103929519653,0.012789647094905376,ScorePonderado,-4.612632039003074,0.9225264078006148,5
10751,left_hand,0.9887464642524719,0.01125349197536707,ScorePonderado,-4.725023837760091,0.9450047675520181,5
10815,left_hand,0.9870468378067017,0.012953214347362518,ScorePonderado,-4.774753859266639,0.9549507718533278,5
10879,left_hand,0.9910208582878113,0.008979137986898422,ScorePonderado,-4.871331291273236,0.9742662582546473,5
10943,left_hand,0.9921838641166687,0.007816118188202381,ScorePonderado,-4.892416807822883,0.9784833615645766,5
11007,left_hand,0.9925801157951355,0.007419872563332319,ScorePonderado,-4.903156305197626,0.9806312610395252,5
11071,left_hand,0.9922095537185669,0.007790485862642527,ScorePonderado,-4.910082400776446,0.9820164801552892,5
11135,left_hand,0.9928775429725647,0.0071224672719836235,ScorePonderado,-4.921743853017688,0.9843487706035375,5
11199,left_hand,0.9903618097305298,0.0096381651237607,ScorePonderado,-4.920425777323544,0.9840851554647088,5
11263,left_hand,0.9872260689735413,0.012773899361491203,ScorePonderado,-4.910510201007128,0.9821020402014256,5
11327,left_hand,0.9805499911308289,0.01944999396800995,ScorePonderado,-4.8864499549381435,0.9772899909876287,5
11391,left_hand,0.963454008102417,0.036545976996421814,ScorePonderado,-4.828938918188214,0.9657877836376428,5
11455,left_hand,0.9532385468482971,0.04676148295402527,ScorePonderado,-4.749660906381905,0.949932181276381,5
11519,left_hand,0.9542994499206543,0.04570058360695839,ScorePonderado,-4.677536128088832,0.9355072256177663,5
11583,left_hand,0.8965039253234863,0.10349602997303009,ScorePonderado,-4.496091853827238,0.8992183707654476,5
11647,left_hand,0.874888002872467,0.12511207163333893,ScorePonderado,-4.284767787903547,0.8569535575807095,5
11711,left_hand,0.750676155090332,0.24932381510734558,ScorePonderado,-3.8592120967805386,0.7718424193561078,5
11775,left_hand,0.4562544524669647,0.5437455773353577,ScorePonderado,-2.8652439080178738,0.6080452315509319,5
11839,left_hand,0.46434086561203003,0.5356591939926147,ScorePonderado,-1.8853267133235931,0.4405891239643097,5
11903,left_hand,0.2690376341342926,0.730962336063385,ScorePonderado,-0.6303941160440445,0.3743724852800369,5
11967,right_hand,0.19914470613002777,0.800855278968811,ScorePonderado,0.7210923880338669,0.344759413599968,5
12031,right_hand,0.13683320581912994,0.8631668090820312,ScorePonderado,1.9487783312797546,0.3897556662559509,5
12095,right_hand,0.14846284687519073,0.8515371084213257,ScorePonderado,2.5643614679574966,0.5128722935914993,5
12159,right_hand,0.21127977967262268,0.7887202501296997,ScorePonderado,3.070483610033989,0.6140967220067978,5
12223,right_hand,0.24096524715423584,0.7590347528457642,ScorePonderado,3.126628413796425,0.625325682759285,5
12287,right_hand,0.3123222291469574,0.6876777410507202,ScorePonderado,2.9002733528614044,0.5800546705722809,5
12351,right_hand,0.2864229381084442,0.7135770916938782,ScorePonderado,2.601093903183937,0.5202187806367874,5
12415,right_hand,0.20849056541919708,0.7915094494819641,ScorePonderado,2.481038525700569,0.4962077051401138,5
12479,right_hand,0.16123583912849426,0.8387641906738281,ScorePonderado,2.581126406788826,0.5162252813577652,5
12543,right_hand,0.14675424993038177,0.853245735168457,ScorePonderado,2.769548386335373,0.5539096772670746,5
12607,right_hand,0.10119086503982544,0.8988091349601746,ScorePonderado,3.1918111443519592,0.6383622288703918,5
12671,right_hand,0.1440330445766449,0.8559669852256775,ScorePonderado,3.476590931415558,0.6953181862831116,5
12735,right_hand,0.2288779467344284,0.7711220383644104,ScorePonderado,3.435816138982773,0.6871632277965546,5
12799,right_hand,0.21948745846748352,0.7805125713348389,ScorePonderado,3.3193129003047943,0.6638625800609589,5
12863,right_hand,0.10550504177808762,0.8944950103759766,ScorePonderado,3.401811383664608,0.6803622767329216,5
12927,right_hand,0.20423588156700134,0.795764148235321,ScorePonderado,3.1957213804125786,0.6391442760825157,5
12991,right_hand,0.13211780786514282,0.8678821921348572,ScorePonderado,3.2195518240332603,0.6439103648066521,5
13055,right_hand,0.09466629475355148,0.9053336381912231,ScorePonderado,3.48797507584095,0.69759501516819,5
13119,right_hand,0.0594446063041687,0.9405553340911865,ScorePonderado,3.8080606907606125,0.7616121381521225,5
13183,right_hand,0.04872499033808708,0.9512749314308167,ScorePonderado,3.921620663255453,0.7843241326510906,5
13247,right_hand,0.042514368891716,0.9574856162071228,ScorePonderado,4.24506364390254,0.849012728780508,5
13311,right_hand,0.040483538061380386,0.9595164656639099,ScorePonderado,4.428332187235355,0.8856664374470711,5
13375,right_hand,0.06990958750247955,0.9300903677940369,ScorePonderado,4.477845624089241,0.8955691248178482,5
13439,right_hand,0.20527492463588715,0.7947251200675964,ScorePonderado,4.1861850917339325,0.8372370183467865,5
13503,right_hand,0.2791479229927063,0.7208521366119385,ScorePonderado,3.725339364260435,0.745067872852087,5
13567,right_hand,0.16136252880096436,0.8386374711990356,ScorePonderado,3.4876430593430996,0.6975286118686199,5
13631,right_hand,0.10511738061904907,0.8948826193809509,ScorePonderado,3.358375370502472,0.6716750741004944,5
13695,right_hand,0.14046677947044373,0.8595332503318787,ScorePonderado,3.2172610610723495,0.6434522122144699,5
13759,right_hand,0.1625763475894928,0.8374236226081848,ScorePonderado,3.3026581406593323,0.6605316281318665,5
13823,right_hand,0.36469945311546326,0.6353005170822144,ScorePonderado,3.131554991006851,0.6263109982013703,5
13887,right_hand,0.30504676699638367,0.694953203201294,ScorePonderado,2.84418648481369,0.568837296962738,5
13951,right_hand,0.5785526037216187,0.42144742608070374,ScorePonderado,1.8973160684108734,0.44230528473854064,5
14015,right_hand,0.7405972480773926,0.25940272212028503,ScorePonderado,0.6970550715923309,0.39473089575767517,5
14079,left_hand,0.7623069882392883,0.23769304156303406,ScorePonderado,-0.5024061501026154,0.3646842300891876,5
14143,left_hand,0.8025195598602295,0.19748038053512573,ScorePonderado,-1.3780463933944702,0.43157185316085817,5
14207,left_hand,0.9135146737098694,0.0864853709936142,ScorePonderado,-2.5949821323156357,0.5189964264631272,5
14271,left_hand,0.9339516758918762,0.06604831665754318,ScorePonderado,-3.305780313909054,0.6611560627818107,5
14335,left_hand,0.8965192437171936,0.1034807488322258,ScorePonderado,-3.617624282836914,0.7235248565673829,5
14399,left_hand,0.8941536545753479,0.1058463379740715,ScorePonderado,-3.881317652761936,0.7762635305523873,5
14463,left_hand,0.9112226366996765,0.08877739310264587,ScorePonderado,-4.098723717033863,0.8197447434067726,5
14527,left_hand,0.9017525315284729,0.09824741631746292,ScorePonderado,-4.075199529528618,0.8150399059057236,5
14591,left_hand,0.9168931841850281,0.0831068605184555,ScorePonderado,-4.041082493960857,0.8082164987921715,5
14655,left_hand,0.904115617275238,0.09588439762592316,ScorePonderado,-4.0562752187252045,0.8112550437450409,5
14719,left_hand,0.8340529799461365,0.1659470498561859,ScorePonderado,-3.9360738322138786,0.7872147664427758,5
14783,left_hand,0.8803865909576416,0.11961334943771362,ScorePonderado,-3.874401830136776,0.7748803660273552,5
14847,left_hand,0.9083717465400696,0.09162823110818863,ScorePonderado,-3.887640230357647,0.7775280460715294,5
14911,left_hand,0.8623479008674622,0.13765206933021545,ScorePonderado,-3.778549738228321,0.7557099476456642,5
