sample,prediction,p_left_raw,p_right_raw,name ,integrator,threshold
10047,left_hand,0.7820152044296265,0.21798478066921234,IntegradorFuga,-3.537510819733143,1.0
10111,left_hand,0.7072250843048096,0.2927749454975128,IntegradorFuga,-3.2128997519612312,1.0
10175,left_hand,0.7977393865585327,0.20226064324378967,IntegradorFuga,-3.0477277487516403,1.0
10239,left_hand,0.8491114377975464,0.15088851749897003,IntegradorFuga,-3.0087796300649643,1.0
10303,left_hand,0.9183651208877563,0.08163490891456604,IntegradorFuga,-3.1089124381542206,1.0
10367,left_hand,0.9099265336990356,0.09007348865270615,IntegradorFuga,-3.364735059440136,1.0
10431,left_hand,0.9325506091117859,0.06744943559169769,IntegradorFuga,-3.8153860941529274,1.0
10495,left_hand,0.962181806564331,0.03781820461153984,IntegradorFuga,-4.144270952790976,1.0
10559,left_hand,0.9427321553230286,0.057267867028713226,IntegradorFuga,-4.3315123207867146,1.0
10623,left_hand,0.9816411137580872,0.018358884379267693,IntegradorFuga,-4.458064338192344,1.0
10687,left_hand,0.9872103929519653,0.012789647094905376,IntegradorFuga,-4.612632039003074,1.0
10751,left_hand,0.9887464642524719,0.01125349197536707,IntegradorFuga,-4.725023837760091,1.0
10815,left_hand,0.9870468378067017,0.012953214347362518,IntegradorFuga,-4.774753859266639,1.0
10879,left_hand,0.9910208582878113,0.008979137986898422,IntegradorFuga,-4.871331291273236,1.0
10943,left_hand,0.9921838641166687,0.007816118188202381,IntegradorFuga,-4.892416807822883,1.0
11007,left_hand,0.9925801157951355,0.007419872563332319,IntegradorFuga,-4.903156305197626,1.0
11071,left_hand,0.9922095537185669,0.007790485862642527,IntegradorFuga,-4.910082400776446,1.0
11135,left_hand,0.9928775429725647,0.0071224672719836235,IntegradorFuga,-4.921743853017688,1.0
11199,left_hand,0.9903618097305298,0.0096381651237607,IntegradorFuga,-4.920425777323544,1.0
11263,left_hand,0.9872260689735413,0.012773899361491203,IntegradorFuga,-4.910510201007128,1.0
11327,left_hand,0.9805499911308289,0.01944999396800995,IntegradorFuga,-4.8864499549381435,1.0
11391,left_hand,0.963454008102417,0.036545976996421814,IntegradorFuga,-4.828938918188214,1.0
11455,left_hand,0.9532385468482971,0.04676148295402527,IntegradorFuga,-4.749660906381905,1.0
11519,left_hand,0.9542994499206543,0.04570058360695839,IntegradorFuga,-4.677536128088832,1.0
11583,left_hand,0.8965039253234863,0.10349602997303009,IntegradorFuga,-4.496091853827238,1.0
11647,left_hand,0.874888002872467,0.12511207163333893,IntegradorFuga,-4.284767787903547,1.0
11711,left_hand,0.750676155090332,0.24932381510734558,IntegradorFuga,-3.8592120967805386,1.0
11775,left_hand,0.4562544524669647,0.5437455773353577,IntegradorFuga,-2.8652439080178738,1.0
11839,left_hand,0.46434086561203003,0.5356591939926147,IntegradorFuga,-1.8853267133235931,1.0
11903,,0.2690376341342926,0.730962336063385,IntegradorFuga,-0.6303941160440445,1.0
11967,,0.19914470613002777,0.800855278968811,IntegradorFuga,0.19069827198982248,1.0
12031,right_hand,0.13683320581912994,0.8631668090820312,IntegradorFuga,2.039476603269577,1.0
12095,right_hand,0.14846284687519073,0.8515371084213257,IntegradorFuga,2.5643614679574966,1.0
12159,right_hand,0.21127977967262268,0.7887202501296997,IntegradorFuga,3.070483610033989,1.0
12223,right_hand,0.24096524715423584,0.7590347528457642,IntegradorFuga,3.126628413796425,1.0
12287,right_hand,0.3123222291469574,0.6876777410507202,IntegradorFuga,2.9002733528614044,1.0
12351,right_hand,0.2864229381084442,0.7135770916938782,IntegradorFuga,2.601093903183937,1.0
12415,right_hand,0.20849056541919708,0.7915094494819641,IntegradorFuga,2.481038525700569,1.0
12479,right_hand,0.16123583912849426,0.8387641906738281,IntegradorFuga,2.581126406788826,1.0
12543,right_hand,0.14675424993038177,0.853245735168457,IntegradorFuga,2.769548386335373,1.0
12607,right_hand,0.10119086503982544,0.8988091349601746,IntegradorFuga,3.1918111443519592,1.0
12671,right_hand,0.1440330445766449,0.8559669852256775,IntegradorFuga,3.476590931415558,1.0
12735,right_hand,0.2288779467344284,0.7711220383644104,IntegradorFuga,3.435816138982773,1.0
12799,right_hand,0.21948745846748352,0.7805125713348389,IntegradorFuga,3.3193129003047943,1.0
12863,right_hand,0.10550504177808762,0.8944950103759766,IntegradorFuga,3.401811383664608,1.0
12927,right_hand,0.20423588156700134,0.795764148235321,IntegradorFuga,3.1957213804125786,1.0
12991,right_hand,0.13211780786514282,0.8678821921348572,IntegradorFuga,3.2195518240332603,1.0
13055,right_hand,0.09466629475355148,0.9053336381912231,IntegradorFuga,3.48797507584095,1.0
13119,right_hand,0.0594446063041687,0.9405553340911865,IntegradorFuga,3.8080606907606125,1.0
13183,right_hand,0.04872499033808708,0.9512749314308167,IntegradorFuga,3.921620663255453,1.0
