sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
18239,left_hand,0.8097358345985413,0.19026418030261993,MediaProbabilidades,0.7374199867248535,0.26258002519607543,5
18303,left_hand,0.8781178593635559,0.12188216298818588,MediaProbabilidades,0.7624707579612732,0.23752925544977188,5
18367,left_hand,0.9510018825531006,0.04899805784225464,MediaProbabilidades,0.8141048431396485,0.18589517027139663,5
18431,left_hand,0.9836829304695129,0.016317099332809448,MediaProbabilidades,0.8668761730194092,0.13312384039163588,5
18495,left_hand,0.9850249886512756,0.01497501228004694,MediaProbabilidades,0.9215126991271972,0.07848730254918337,5
18559,left_hand,0.9870426654815674,0.012957402504980564,MediaProbabilidades,0.9569740653038025,0.04302594698965549,5
18623,left_hand,0.9869545102119446,0.01304550375789404,MediaProbabilidades,0.9787413954734803,0.021258615143597125,5
18687,left_hand,0.9865177273750305,0.013482201844453812,MediaProbabilidades,0.9858445644378662,0.01415544394403696,5
18751,left_hand,0.9844784736633301,0.015521585009992123,MediaProbabilidades,0.9860036730766296,0.013996341079473496,5
18815,left_hand,0.9840160608291626,0.015983980149030685,MediaProbabilidades,0.985801887512207,0.014198134653270245,5
18879,left_hand,0.9832006692886353,0.01679934561252594,MediaProbabilidades,0.9850334882736206,0.01496652327477932,5
18943,left_hand,0.983173668384552,0.016826270148158073,MediaProbabilidades,0.984277319908142,0.015722676552832125,5
19007,left_hand,0.9840696454048157,0.01593036949634552,MediaProbabilidades,0.9837877035140992,0.016212310083210467,5
19071,left_hand,0.9781284928321838,0.021871544420719147,MediaProbabilidades,0.9825177073478699,0.017482301965355874,5
19135,left_hand,0.9780368208885193,0.02196323685348034,MediaProbabilidades,0.9813218593597413,0.018678153306245802,5
19199,left_hand,0.9661058187484741,0.03389420732855797,MediaProbabilidades,0.977902889251709,0.02209712564945221,5
19263,left_hand,0.9379419684410095,0.06205803155899048,MediaProbabilidades,0.9688565492630005,0.03114347793161869,5
19327,left_hand,0.8864547610282898,0.1135452389717102,MediaProbabilidades,0.9493335723876953,0.050666451826691626,5
19391,left_hand,0.8462094664573669,0.15379050374031067,MediaProbabilidades,0.9229497671127319,0.07705024369060993,5
19455,left_hand,0.765258252620697,0.2347416877746582,MediaProbabilidades,0.8803940534591674,0.1196059338748455,5
19519,left_hand,0.7137774229049683,0.28622257709503174,MediaProbabilidades,0.8299283742904663,0.17007160782814026,5
19583,left_hand,0.547354519367218,0.4526454508304596,MediaProbabilidades,0.751810884475708,0.24818909168243408,5
19647,left_hand,0.8797473907470703,0.1202525869011879,MediaProbabilidades,0.7504694104194641,0.24953056126832962,5
19711,left_hand,0.8766666054725647,0.12333343178033829,MediaProbabilidades,0.7565608382225036,0.24343914687633514,5
19775,left_hand,0.8860835433006287,0.11391641199588776,MediaProbabilidades,0.78072589635849,0.21927409172058104,5
19839,left_hand,0.8971048593521118,0.10289513319730759,MediaProbabilidades,0.8173913836479187,0.18260860294103623,5
19903,left_hand,0.9090176820755005,0.09098229557275772,MediaProbabilidades,0.8897240161895752,0.11027597188949585,5
19967,left_hand,0.9414870142936707,0.058512989431619644,MediaProbabilidades,0.9020719408988953,0.0979280523955822,5
20031,left_hand,0.9219257831573486,0.07807426899671555,MediaProbabilidades,0.9111237764358521,0.08887621983885766,5
20095,left_hand,0.9695357084274292,0.030464356765151024,MediaProbabilidades,0.9278142094612122,0.0721858087927103,5
20159,left_hand,0.9882825016975403,0.011717456392943859,MediaProbabilidades,0.9460497379302979,0.05395027343183756,5
20223,left_hand,0.9860240817070007,0.013975868932902813,MediaProbabilidades,0.9614510178565979,0.038548988103866574,5
20287,left_hand,0.9747890830039978,0.02521088905632496,MediaProbabilidades,0.9681114315986633,0.03188856802880764,5
20351,left_hand,0.9512106776237488,0.0487893745303154,MediaProbabilidades,0.9739684104919434,0.02603158913552761,5
20415,left_hand,0.8224955201148987,0.1775044947862625,MediaProbabilidades,0.9445603728294373,0.05543961673974991,5
