time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444258.7557308844,177069.65625,178608.875,176161.890625,202597.671875,180489.0625,198369.171875,175378.484375,171526.890625,177623.296875,178707.84375,193911.109375,186224.796875,188283.765625,206424.609375,209732.578125,189638.171875,9.867450714111328,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.75973188947,177065.15625,178629.953125,176150.515625,202622.390625,180477.5,198397.5625,175378.1875,171514.96875,177610.484375,178716.21875,193940.90625,186236.46875,188309.375,206452.578125,209761.390625,189663.96875,9.867450714111328,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.7637328945,177064.65625,178633.84375,176157.359375,202631.296875,180486.65625,198410.046875,175375.875,171522.203125,177619.84375,178725.515625,193952.953125,186239.046875,188319.03125,206464.640625,209773.09375,189673.6875,9.867450714111328,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.76773389947,177068.609375,178614.875,176172.984375,202611.15625,180504.59375,198388.75,175374.390625,171539.375,177638.78125,178722.265625,193929.75,186227.21875,188298.984375,206443.765625,209751.59375,189653.40625,9.867450714111328,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.7717349044,177071.796875,178598.78125,176176.171875,202589.1875,180506.5,198362.40625,175375.765625,171543.328125,177642.0,178710.65625,193902.21875,186215.40625,188276.25,206418.8125,209726.84375,189630.765625,9.867450714111328,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.7757359092,177069.34375,178607.265625,176161.15625,202594.890625,180488.359375,198366.59375,175378.453125,171527.703125,177623.96875,178705.0625,193907.484375,186217.890625,188281.65625,206424.375,209733.453125,189636.171875,9.905696868896484,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.779736914,177064.828125,178628.109375,176149.421875,202619.234375,180475.546875,198394.28125,175378.046875,171514.5625,177610.21875,178713.78125,193936.71875,186229.265625,188306.765625,206452.109375,209762.125,189661.34375,9.905696868896484,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.78373791865,177064.078125,178632.40625,176156.359375,202628.109375,180485.0,198406.890625,175375.765625,171522.0,177619.03125,178721.828125,193948.859375,186232.078125,188316.484375,206463.75,209774.15625,189671.703125,9.905696868896484,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.7877357124,177068.140625,178614.53125,176173.15625,202608.578125,180504.15625,198386.4375,175375.0625,171540.203125,177639.046875,178719.8125,193926.421875,186221.140625,188297.375,206443.0625,209753.8125,189652.796875,9.905696868896484,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.79173350625,177070.75,178598.75,176176.578125,202585.875,180506.5625,198359.890625,175375.125,171542.515625,177641.890625,178709.109375,193898.9375,186208.90625,188274.84375,206417.3125,209728.703125,189630.5625,9.905696868896484,0.22947563230991364,0.07649187743663788,1.0,51.0
444258.7957313002,177068.875,178608.265625,176162.5,202592.25,180488.796875,198364.71875,175378.21875,171527.265625,177624.0,178704.328125,193904.734375,186211.71875,188281.046875,206422.671875,209735.46875,189637.078125,9.982189178466797,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.7997290942,177064.484375,178629.859375,176151.59375,202618.03125,180476.421875,198393.484375,175378.890625,171515.390625,177611.046875,178714.171875,193934.875,186224.0625,188307.171875,206450.9375,209764.84375,189663.734375,9.982189178466797,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8037268883,177063.984375,178633.25,176157.15625,202626.75,180484.53125,198405.453125,175375.9375,171522.0,177619.171875,178723.328125,193946.578125,186226.78125,188316.59375,206462.0625,209776.171875,189673.1875,9.982189178466797,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8077246825,177067.875,178614.59375,176172.6875,202606.5625,180502.0,198384.21875,175374.265625,171539.40625,177638.171875,178719.9375,193923.609375,186215.6875,188296.640625,206440.75,209754.75,189652.828125,9.982189178466797,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.81172247673,177070.6875,178598.0,176175.46875,202583.53125,180504.65625,198357.375,175375.265625,171542.953125,177640.828125,178706.84375,193895.984375,186203.515625,188273.46875,206414.359375,209729.0,189629.15625,9.982189178466797,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8157202711,177068.8125,178606.828125,176161.078125,202589.1875,180486.6875,198361.6875,175377.78125,171526.890625,177622.28125,178701.90625,193901.6875,186206.734375,188279.0,206418.984375,209735.125,189635.0,9.867450714111328,0.1912296712398529,0.03824593871831894,1.0,51.0
444258.81971806556,177064.21875,178627.640625,176148.90625,202613.703125,180474.71875,198389.65625,175377.34375,171513.28125,177608.296875,178710.625,193931.015625,186219.328125,188303.984375,206446.28125,209763.15625,189660.703125,9.867450714111328,0.1912296712398529,0.03824593871831894,1.0,51.0
444258.8237158601,177063.609375,178632.234375,176155.828125,202623.21875,180484.140625,198402.625,175374.03125,171520.59375,177617.59375,178720.71875,193943.59375,186223.53125,188313.875,206458.015625,209774.59375,189670.734375,9.867450714111328,0.1912296712398529,0.03824593871831894,1.0,51.0
444258.82771365467,177067.46875,178614.125,176172.109375,202603.5,180502.34375,198382.1875,175372.484375,171539.109375,177637.375,178717.859375,193921.328125,186212.828125,188294.21875,206437.359375,209753.0625,189650.984375,9.867450714111328,0.1912296712398529,0.03824593871831894,1.0,51.0
444258.83171144937,177071.59375,178599.40625,176176.8125,202582.3125,180506.4375,198356.703125,175375.234375,171544.703125,177642.0625,178706.9375,193895.421875,186203.078125,188272.765625,206413.34375,209728.359375,189629.265625,9.867450714111328,0.1912296712398529,0.03824593871831894,1.0,51.0
444258.8357092442,177069.515625,178609.0625,176163.0625,202588.921875,180489.671875,198361.390625,175378.515625,171530.109375,177624.46875,178703.71875,193901.890625,186207.203125,188279.40625,206418.640625,209734.09375,189635.5,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.839707039,177064.71875,178629.484375,176151.09375,202613.265625,180475.984375,198388.859375,175378.28125,171516.96875,177610.578125,178711.03125,193931.09375,186219.09375,188304.75,206445.265625,209761.28125,189660.984375,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.843704834,177063.71875,178633.71875,176157.53125,202622.21875,180483.96875,198401.421875,175375.15625,171522.84375,177619.203125,178719.671875,193943.359375,186222.59375,188314.703125,206456.296875,209772.484375,189671.53125,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.847702629,177067.46875,178615.734375,176173.71875,202602.734375,180502.84375,198380.96875,175374.328125,171540.8125,177638.78125,178716.859375,193921.0,186212.1875,188295.5625,206435.34375,209751.453125,189652.5,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.8517004241,177070.6875,178599.75,176177.25,202580.578125,180505.625,198354.859375,175376.109375,171545.109375,177642.296875,178707.203125,193894.171875,186201.625,188272.9375,206409.390625,209726.375,189629.5625,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.8556982193,177068.515625,178608.671875,176162.890625,202586.34375,180488.53125,198359.28125,175377.78125,171528.90625,177624.328125,178702.484375,193899.96875,186205.921875,188278.640625,206413.984375,209732.421875,189634.890625,9.867450714111328,0.15298375487327576,0.0,1.0,51.0
444258.8596960146,177063.375,178628.921875,176150.359375,202610.484375,180473.546875,198386.4375,175376.765625,171515.296875,177609.84375,178708.203125,193928.875,186218.59375,188303.25,206440.4375,209759.671875,189659.9375,9.867450714111328,0.15298375487327576,0.0,1.0,51.0
444258.86369381,177062.703125,178633.75,176157.390625,202619.875,180482.453125,198399.546875,175374.5,171522.671875,177618.828125,178717.390625,193941.6875,186223.421875,188313.84375,206452.515625,209771.40625,189670.46875,9.867450714111328,0.15298375487327576,0.0,1.0,51.0
444258.86769160547,177066.328125,178615.03125,176172.984375,202599.65625,180501.5,198378.734375,175372.75,171539.46875,177637.3125,178714.78125,193918.78125,186213.328125,188294.09375,206431.625,209749.609375,189649.984375,9.867450714111328,0.15298375487327576,0.0,1.0,51.0
