sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
8411,rest,0.9947100877761841,0.005289941094815731,ExponentialSmoothing,0.6114565468050184,0.38854346566210024,0.85,0.75
8436,rest,0.9982706308364868,0.0017293732380494475,ExponentialSmoothing,0.6694786594097387,0.33052135179849257,0.85,0.75
8486,rest,0.9994611144065857,0.0005388991557992995,ExponentialSmoothing,0.7189760276592657,0.2810239839020886,0.85,0.75
8511,left_hand,0.9992971420288086,0.0007028371910564601,ExponentialSmoothing,0.7610241948146972,0.2389758118954338,0.85,0.75
8536,left_hand,0.9974040389060974,0.0025959513150155544,ExponentialSmoothing,0.7964811714284072,0.20351883280837105,0.85,0.75
8586,left_hand,0.9684457182884216,0.03155431151390076,ExponentialSmoothing,0.8222758534574095,0.1777241546142005,0.85,0.75
8611,left_hand,0.8897082209587097,0.11029179394245148,ExponentialSmoothing,0.8323907085826046,0.16760930051343814,0.85,0.75
8661,left_hand,0.8323273062705994,0.16767272353172302,ExponentialSmoothing,0.8323811982358038,0.16761881396618086,0.85,0.75
8711,left_hand,0.862712025642395,0.13728797435760498,ExponentialSmoothing,0.8369308223467925,0.16306918802489448,0.85,0.75
8736,left_hand,0.8214384913444519,0.17856146395206451,ExponentialSmoothing,0.8346069726964415,0.16539302941397,0.85,0.75
8786,left_hand,0.8097313642501831,0.19026866555213928,ExponentialSmoothing,0.8308756314295027,0.1691243748346954,0.85,0.75
8811,left_hand,0.7483673691749573,0.2516326308250427,ExponentialSmoothing,0.8184993920913209,0.18150061323324748,0.85,0.75
8861,rest,0.2927815914154053,0.7072184681892395,ExponentialSmoothing,0.7396417219899336,0.2603582914766463,0.85,0.75
8886,rest,0.1060362309217453,0.8939637541770935,ExponentialSmoothing,0.6446008983297054,0.3553991108817134,0.85,0.75
8911,rest,0.0326291099190712,0.967370867729187,ExponentialSmoothing,0.5528051300681102,0.44719487440883443,0.85,0.75
8961,rest,0.005583376623690128,0.9944165945053101,ExponentialSmoothing,0.47072186705144714,0.5292781324233058,0.85,0.75
8986,rest,0.003641529008746147,0.9963584542274475,ExponentialSmoothing,0.400659816345042,0.5993401806939271,0.85,0.75
9036,rest,0.0021374057978391647,0.9978626370429993,ExponentialSmoothing,0.34088145476296156,0.659118549146288,0.85,0.75
9086,rest,0.0016171665629372,0.9983828067779541,ExponentialSmoothing,0.2899918115329579,0.710008187791038,0.85,0.75
9111,right_hand,0.0017640001606196165,0.9982359409332275,ExponentialSmoothing,0.24675763982710716,0.7532423507623665,0.85,0.75
9161,right_hand,0.0019634163472801447,0.9980365633964539,ExponentialSmoothing,0.2100385063051331,0.7899614826574796,0.85,0.75
9186,right_hand,0.002610937226563692,0.9973891377449036,ExponentialSmoothing,0.17892437094334768,0.8210756309205931,0.85,0.75
9236,right_hand,0.0036510243080556393,0.9963489770889282,ExponentialSmoothing,0.15263336894805388,0.8473666328458433,0.85,0.75
9261,right_hand,0.006154380273073912,0.9938456416130066,ExponentialSmoothing,0.13066152064680686,0.8693384841609177,0.85,0.75
9311,right_hand,0.014190765097737312,0.9858092665672302,ExponentialSmoothing,0.11319090731444643,0.8868091015218647,0.85,0.75
9336,right_hand,0.03320484235882759,0.9667951464653015,ExponentialSmoothing,0.1011929975711036,0.8988070082633802,0.85,0.75
9361,right_hand,0.058236248791217804,0.9417637586593628,ExponentialSmoothing,0.09474948525412073,0.9052505208227777,0.85,0.75
9411,right_hand,0.1095304787158966,0.8904695510864258,ExponentialSmoothing,0.09696663427338711,0.9030333753623249,0.85,0.75
9461,right_hand,0.4645364284515381,0.5354635715484619,ExponentialSmoothing,0.15210210340010977,0.8478979047902455,0.85,0.75
9486,right_hand,0.6278375387191772,0.37216243147850037,ExponentialSmoothing,0.2234624186979699,0.7765375837934838,0.85,0.75
9536,rest,0.5395048260688782,0.4604952037334442,ExponentialSmoothing,0.27086877980360613,0.7291312267844778,0.85,0.75
9561,rest,0.30689093470573425,0.6931090354919434,ExponentialSmoothing,0.27627210303892535,0.7237278980905977,0.85,0.75
9611,right_hand,0.043679650872945786,0.9563203454017639,ExponentialSmoothing,0.2413832352140284,0.7586167651872726,0.85,0.75
9636,right_hand,0.011350723914802074,0.9886492490768433,ExponentialSmoothing,0.20687835851914446,0.7931216377707082,0.85,0.75
9686,right_hand,0.004950122907757759,0.9950498938560486,ExponentialSmoothing,0.17658912317743644,0.8234108761835093,0.85,0.75
9711,right_hand,0.003934177104383707,0.9960657954216003,ExponentialSmoothing,0.1506908812664785,0.8493091140692229,0.85,0.75
9736,right_hand,0.0037826457992196083,0.9962173104286194,ExponentialSmoothing,0.12865464594638967,0.8713453435231324,0.85,0.75
9786,right_hand,0.012087601236999035,0.9879123568534851,ExponentialSmoothing,0.11116958923998108,0.8888303955226853,0.85,0.75
9811,right_hand,0.018297594040632248,0.981702446937561,ExponentialSmoothing,0.09723878996007874,0.9027612032349166,0.85,0.75
9861,right_hand,0.09533623605966568,0.9046638011932373,ExponentialSmoothing,0.09695340687501677,0.9030465929286647,0.85,0.75
9886,right_hand,0.10804080963134766,0.8919592499732971,ExponentialSmoothing,0.0986165172884664,0.9013834914853596,0.85,0.75
9936,right_hand,0.6185712218284607,0.3814287781715393,ExponentialSmoothing,0.17660972296946556,0.8233902844882866,0.85,0.75
9986,rest,0.9545540809631348,0.04544588550925255,ExponentialSmoothing,0.29330137666851597,0.7066986246414315,0.85,0.75
10011,rest,0.9817620515823364,0.01823790743947029,ExponentialSmoothing,0.3965704779055891,0.6034295170611373,0.85,0.75
10061,rest,0.9909091591835022,0.009090790525078773,ExponentialSmoothing,0.4857212800972761,0.5142787080807285,0.85,0.75
10086,rest,0.9853025674819946,0.014697411097586155,ExponentialSmoothing,0.560658473204984,0.4393415135332571,0.85,0.75
10136,rest,0.9653837084770203,0.03461632505059242,ExponentialSmoothing,0.6213672584957894,0.3786327352608574,0.85,0.75
10161,rest,0.9549069404602051,0.04509308934211731,ExponentialSmoothing,0.6713982107904518,0.3286017883730463,0.85,0.75
10186,rest,0.9119576811790466,0.08804234117269516,ExponentialSmoothing,0.707482131348741,0.29251787129299367,0.85,0.75
10236,rest,0.8803147077560425,0.11968524008989334,ExponentialSmoothing,0.7334070178098363,0.2665929766125286,0.85,0.75
10286,rest,0.6592866778373718,0.3407132923603058,ExponentialSmoothing,0.7222889668139666,0.27771102397469516,0.85,0.75
10311,rest,0.5715469121932983,0.4284530580043793,ExponentialSmoothing,0.6996776586208664,0.3003223290791478,0.85,0.75
10361,rest,0.8214722275733948,0.17852775752544403,ExponentialSmoothing,0.7179468439637456,0.2820531433460922,0.85,0.75
10386,rest,0.8680053949356079,0.13199463486671448,ExponentialSmoothing,0.7404556266095249,0.25954436707418554,0.85,0.75
10436,left_hand,0.9754035472869873,0.02459651418030262,ExponentialSmoothing,0.7756978147111443,0.2243021891401031,0.85,0.75
10461,left_hand,0.9787008166313171,0.02129921317100525,ExponentialSmoothing,0.8061482649991702,0.19385174274473843,0.85,0.75
10511,left_hand,0.9883877635002136,0.011612249538302422,ExponentialSmoothing,0.8334841897743267,0.16651581876377303,0.85,0.75
10536,left_hand,0.9915465712547302,0.00845341756939888,ExponentialSmoothing,0.8571935469963873,0.14280645858461688,0.85,0.75
10586,left_hand,0.9959944486618042,0.004005484748631716,ExponentialSmoothing,0.8780136822461999,0.1219863125092191,0.85,0.75
10611,left_hand,0.995598554611206,0.004401391372084618,ExponentialSmoothing,0.8956514131009509,0.10434857433864893,0.85,0.75
10636,left_hand,0.9958482980728149,0.004151673521846533,ExponentialSmoothing,0.9106809458467305,0.08931903921612856,0.85,0.75
10686,left_hand,0.9956455826759338,0.004354351200163364,ExponentialSmoothing,0.923425641371111,0.07657433601373377,0.85,0.75
10736,left_hand,0.9950941801071167,0.0049058906733989716,ExponentialSmoothing,0.9341759221815119,0.06582406921268355,0.85,0.75
10761,left_hand,0.9956027269363403,0.004397230688482523,ExponentialSmoothing,0.9433899428947362,0.056610043434053396,0.85,0.75
10811,left_hand,0.9983783960342407,0.0016215768409892917,ExponentialSmoothing,0.9516382108656619,0.048361773445093785,0.85,0.75
10836,left_hand,0.997925877571106,0.00207405723631382,ExponentialSmoothing,0.9585813608714786,0.041418616013776784,0.85,0.75
